duration_sec,affiliation,student,age_group,gender,device_type,ai_familiarity,ai_use_time,detect_easy,ai_literacy,ai_course,social_media_time,score_total,avg_resp_time,avg_conf,attn_check1,attn_conf1,attn_check2,attn_conf2,attn_both,tp_count,tn_count,fp_count,fn_count,tp_rate,tn_rate,ai_img_seen,real_img_seen,ai_classes,device_other,img_count,q1_conf,q2_conf,q3_conf,q4_conf,q5_conf,q6_conf,q7_conf,q8_conf,q9_conf,q10_conf,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
435,Class of 2029 (First-years),Yes,,Woman,Mobile phone,Somewhat familiar,<1 hr/week,36,7,No,<30 min/day,10,14.7678,4.6999998,Yes,3,Yes,10,Yes,5,5,0,0,1,1,5,5,,,11,6,5,7,4,6,4,3,6,2,4,TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
688,Class of 2029 (First-years),Yes,,Woman,Mobile phone,Somewhat familiar,No AI use,0,50,No,30 min-1 hr/day,9,33.7789,4.9000001,No,1,Yes,10,No,5,4,1,0,1,.80000001,5,5,,,15,6,5,6,3,8,5,4,3,2,7,TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit)
416,Class of 2028 (Sophomores),Yes,,Man,Laptop,Somewhat familiar,<1 hr/week,69,16,Yes,<30 min/day,10,22.115999,6.9000001,Yes,10,Yes,10,Yes,5,5,0,0,1,1,5,5,New Media from the Nineteenth Century to Now (ARTH 2115 / DCS 2610),,10,9,8,6,10,3,9,7,5,6,6,TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit)
339,Class of 2026 (Seniors),Yes,,Man,Mobile phone,Somewhat familiar,1-3 hrs/week,22,70,,1-2 hrs/day,7,19.342899,4.1999998,Yes,8,Yes,9,Yes,3,4,3,0,1,.5714286,3,7,,,10,4,5,7,3,1,3,3,7,2,7,FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit)
341,Class of 2028 (Sophomores),Yes,,Woman,Laptop,Somewhat familiar,<1 hr/week,54,43,No,2-4 hrs/day,9,17.294201,7.0999999,Yes,6,Yes,9,Yes,8,1,0,1,.8888889,1,9,1,,,10,8,7,9,8,9,6,7,8,5,4,TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit)
946,Class of 2029 (First-years),Yes,,Man,Mobile phone,Somewhat familiar,4-6 hrs/week,60,,No,<30 min/day,9,9.0314999,4,No,2,Yes,1,No,3,6,1,0,1,.85714287,3,7,,,10,2,7,4,2,4,2,9,4,2,4,FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
1280,Class of 2028 (Sophomores),Yes,,Woman,Mobile phone,Somewhat familiar,<1 hr/week,51,31,No,30 min-1 hr/day,5,107.6893,4.5999999,Yes,8,Yes,8,Yes,3,2,0,5,.375,1,8,2,,,10,5,4,4,4,8,5,4,3,4,5,"FN - missed AI image, called it real (miss)","FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject)
559,Class of 2027 (Juniors),Yes,,Woman,Laptop,Very familiar,4-6 hrs/week,68,69,No,4-6 hrs/day,6,28.1513,7.3000002,Yes,10,Yes,10,Yes,2,4,4,0,1,.5,2,8,,,10,10,9,10,4,6,5,5,8,9,7,TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
621,Class of 2026 (Seniors),Yes,,Man,Mobile phone,Somewhat familiar,No AI use,18,49,No,30 min-1 hr/day,8,40.2966,6.0999999,No,5,Yes,8,No,5,3,2,0,1,.60000002,5,5,,,10,5,6,6,5,7,6,7,8,6,5,FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit)
422,Class of 2027 (Juniors),Yes,,Woman,Mobile phone,Somewhat familiar,No AI use,40,49,Yes,2-4 hrs/day,6,24.581301,6.4000001,Yes,10,Yes,10,Yes,3,3,3,1,.75,.5,4,6,Digital Text Analysis (DCS 2500),,10,7,7,5,9,8,8,6,7,3,4,FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject)
695,Class of 2029 (First-years),Yes,,Woman,Mobile phone,Somewhat familiar,1-3 hrs/week,60,62,No,30 min-1 hr/day,7,47.487598,5,Yes,10,Yes,10,Yes,4,3,1,2,.66666669,.75,6,4,,,13,2,10,6,5,4,5,7,8,3,0,TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)"
386,Class of 2028 (Sophomores),Yes,,Man,Laptop,Somewhat familiar,<1 hr/week,86,56,No,1-2 hrs/day,7,21.941,7.4000001,Yes,10,Yes,10,Yes,5,2,3,0,1,.40000001,5,5,,,10,10,7,6,10,3,10,4,8,10,6,FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
268,Class of 2028 (Sophomores),Yes,,Woman,Mobile phone,Somewhat familiar,1-3 hrs/week,25,46,No,2-4 hrs/day,5,15.7633,4.8000002,Yes,10,Yes,10,Yes,2,3,2,3,.40000001,.60000002,5,5,,,10,7,5,9,1,1,1,1,6,8,9,FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject)
236,Class of 2026 (Seniors),Yes,,Woman,Laptop,Slightly familiar,1-3 hrs/week,12,31,No,1-2 hrs/day,5,8.276,4.1999998,Yes,1,Yes,7,Yes,2,3,3,2,.5,.5,4,6,,,10,6,2,2,6,4,1,4,5,5,7,FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit)
393,Class of 2026 (Seniors),Yes,,Man,Laptop,Somewhat familiar,1-3 hrs/week,50,66,No,30 min-1 hr/day,4,14.3894,7.8000002,Yes,10,Yes,10,Yes,1,3,4,2,.33333334,.42857143,3,7,,,10,8,10,7,8,6,10,6,6,8,9,"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm)
189,Class of 2029 (First-years),Yes,,Woman,Mobile phone,Somewhat familiar,<1 hr/week,35,57,No,1-2 hrs/day,7,9.6799002,6.8000002,Yes,10,Yes,9,Yes,4,3,2,1,.80000001,.60000002,5,5,,,10,5,8,8,5,9,10,8,3,7,5,FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
410,Class of 2029 (First-years),Yes,,Man,Mobile phone,Very familiar,4-6 hrs/week,,,Yes,1-2 hrs/day,6,26.090599,7.4000001,Yes,10,Yes,10,Yes,3,3,1,3,.5,.75,6,4,Writing with and about Generative AI (ENGL 1021),,11,3,10,9,9,7,9,3,7,10,7,FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)","FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit)
290,Class of 2029 (First-years),Yes,,Man,Laptop,Somewhat familiar,4-6 hrs/week,22,32,No,2-4 hrs/day,6,15.2021,6.8000002,Yes,10,Yes,8,Yes,2,4,2,2,.5,.66666669,4,6,,,16,10,10,4,7,9,7,5,7,6,3,TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm)
210,Class of 2028 (Sophomores),Yes,,Man,Laptop,Somewhat familiar,1-3 hrs/week,47,46,No,30 min-1 hr/day,7,9.4681997,5.8000002,Yes,10,Yes,10,Yes,5,2,2,1,.83333331,.5,6,4,,,10,5,7,5,10,5,5,7,5,6,3,TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
235,Class of 2026 (Seniors),Yes,,Man,Laptop,Somewhat familiar,1-3 hrs/week,30,47,No,1-2 hrs/day,7,10.3447,5,Yes,6,Yes,6,Yes,5,2,1,2,.71428573,.66666669,7,3,,,10,5,6,3,2,4,4,7,8,6,5,TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit)
228,Class of 2028 (Sophomores),Yes,,Man,Laptop,Somewhat familiar,<1 hr/week,75,,No,1-2 hrs/day,6,11.9095,9.8999996,Yes,10,Yes,10,Yes,1,5,3,1,.5,.625,2,8,,,10,9,10,10,10,10,10,10,10,10,10,FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject)
297,Class of 2027 (Juniors),Yes,,Man,Mobile phone,Somewhat familiar,7-10 hrs/week,,,Yes,2-4 hrs/day,8,10.3198,10,Yes,10,Yes,10,Yes,5,3,1,1,.83333331,.75,6,4,"Artificial Intelligence (CSCI 2400),Deep Learning (CSCI 3485),A.I. and Economics (ECON 2225 / DCS 2725)",,10,10,10,10,10,10,10,10,10,10,10,TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit)
326,Class of 2027 (Juniors),Yes,,Man,Mobile phone,Somewhat familiar,1-3 hrs/week,74,94,No,1-2 hrs/day,6,24.8291,7.9000001,Yes,10,Yes,10,Yes,1,5,3,1,.5,.625,2,8,,,10,9,9,8,8,7,7,7,8,8,8,TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject)
146,Class of 2026 (Seniors),Yes,,Woman,Laptop,Extremely familiar,1-3 hrs/week,18,,No,4-6 hrs/day,7,6.4252,6.5,Yes,10,Yes,10,Yes,4,3,3,0,1,.5,4,6,,,10,10,4,5,6,5,9,9,4,9,4,TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
391,Class of 2029 (First-years),Yes,,Woman,Mobile phone,Somewhat familiar,4-6 hrs/week,68,63,No,1-2 hrs/day,8,23.6828,7.5999999,Yes,9,Yes,9,Yes,6,2,1,1,.85714287,.66666669,7,3,,,10,6,7,9,6,7,8,8,10,9,6,"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit)
315,Class of 2026 (Seniors),Yes,,Man,Laptop,Somewhat familiar,No AI use,50,19,No,No social media,8,19.051001,5.5,No,8,No,2,No,2,6,1,1,.66666669,.85714287,3,7,,,12,4,3,6,8,5,5,7,7,4,6,FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject)
